"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"PLPPR4",552,825,535,775,466,636,106,80,123,808,998,719,782,334,1114,753,482
"PLPPR5",132,177,89,217,180,171,35,47,59,159,183,194,83,116,69,104,81
"PLRG1",1277,1547,831,1607,1211,960,763,509,824,1304,1188,1013,993,850,1307,1467,1179
"PLS1",930,1123,917,768,575,655,220,35,134,810,446,367,1171,685,750,467,671
"PLS1-AS1",1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"PLS3",473,571,547,803,544,428,145,207,222,417,632,927,441,602,720,1276,529
"PLS3-AS1",6,9,8,10,2,6,5,1,2,2,12,7,3,5,6,5,6
"PLSCR1",253,483,652,307,326,477,94,24,108,178,288,736,323,361,382,771,246
"PLSCR2",6,12,10,7,7,6,4,1,5,4,2,5,9,2,6,6,6
"PLSCR3",4,5,2,12,6,3,0,0,1,6,7,5,4,3,9,6,15
"PLSCR4",314,384,670,377,361,685,52,6,51,290,503,926,489,328,784,831,408
"PLSCR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PLSCR5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLTP",423,193,325,360,593,289,236,202,305,167,306,225,263,269,331,931,280
"PLUT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLVAP",6,2,7,4,4,1,5,13,3,1,6,5,5,13,7,18,2
"PLXDC1",8153,6144,7790,9168,7116,6867,3674,3326,4296,4203,7973,12114,6529,7788,8624,10038,7562
"PLXDC2",4854,2839,2435,2765,3283,2894,1693,534,1528,2596,3123,2232,3585,3009,3761,1655,2498
"PLXNA1",1311,1346,1200,1926,1395,1369,541,735,512,1057,1376,2084,1286,1218,1615,1410,1013
"PLXNA2",1093,1335,1300,1250,987,1342,274,199,288,967,1344,1233,1392,780,1941,1890,1074
"PLXNA3",1526,1588,1483,2112,1714,1654,565,924,807,1187,1211,1915,1314,1554,1681,2497,1689
"PLXNA4",1127,973,1388,1064,787,2046,311,166,324,609,907,1356,1135,491,1468,1105,785
"PLXNB1",4515,2956,3122,3836,3251,4121,1892,1465,3185,2264,4055,3056,3483,3340,4621,3821,4187
"PLXNB2",6093,4696,4810,6765,5775,6324,2454,2383,3888,3116,5198,5563,4081,4729,5734,6607,6059
"PLXNB3",324,396,441,382,167,401,34,33,35,344,511,318,473,198,543,1025,518
"PLXNC1",135,204,215,166,148,161,43,37,53,133,150,205,201,110,188,201,117
"PLXND1",564,646,957,631,432,607,343,393,290,227,651,558,566,914,893,3881,850
"PM20D1",16,23,10,8,13,14,4,2,4,11,17,4,26,9,29,8,10
"PM20D2",1074,1340,967,1022,734,834,348,233,327,1132,986,744,1467,665,1448,1313,881
"PMAIP1",53,33,18,7,7,3,5,5,11,56,22,26,52,6,13,66,16
"PMCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMCHL1",6,3,0,4,6,2,6,3,1,1,1,1,3,0,0,2,2
"PMCHL2",0,2,1,5,2,1,0,2,3,1,1,0,1,0,0,1,0
"PMEL",15,8,8,15,14,12,10,27,11,14,19,9,19,21,32,42,72
"PMEPA1",2317,2048,2788,3686,2810,3752,1064,938,2640,1540,2872,3461,2113,2778,4723,14787,12750
"PMF1",646,342,258,581,563,367,672,603,906,312,369,230,289,448,301,286,512
"PMF1-BGLAP",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"PMFBP1",142,134,211,164,105,118,42,35,50,90,144,123,165,91,160,406,200
"PMIS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PML",1274,946,840,1105,1070,757,629,479,736,679,867,794,754,970,774,1000,821
"PMM1",1336,826,665,1478,1345,734,685,901,979,600,679,783,560,1041,543,680,770
"PMM2",39,68,24,42,19,20,9,1,3,88,46,28,34,22,73,69,53
"PMM2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMP2",8,2,61,8,10,0,2,116,0,1,3,68,7,20,93,155,2
"PMP22",438,403,721,603,622,389,213,259,226,179,443,501,268,584,403,1151,433
"PMPCA",1862,1392,829,2064,1678,995,1057,1310,1474,1126,1060,966,987,1648,977,1190,1304
"PMPCAP1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
